time UTC,venturi_dp,venturi_flow,pt286,pt274,pt273,fv284,fv283,fv275,fv282,fv277,fv278,fv279,fv280
2020-11-06 10:21:20+00:00,53.00862121582031,1.5137084959995613,4.495742081451416,1.980001449584961,4.491946363830566,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:23:00+00:00,51.52910232543945,1.4921731437441763,4.489166973876953,1.9807904958724976,4.48852744140625,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:24:40+00:00,52.25177764892578,1.5027302295978116,4.4899561393737795,1.986576795578003,4.48852744140625,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:26:20+00:00,52.62775421142578,1.5081937594667951,4.491271256256104,1.9847356081008911,4.489842081451416,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:28:00+00:00,52.05646514892578,1.4998842750834178,4.491797207641602,1.9813164472579956,4.49115719833374,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:29:40+00:00,53.26252746582031,1.5173739153572405,4.487325905609131,1.9839465618133545,4.4872123245239255,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:31:20+00:00,73.27259826660156,1.7829421466375586,4.49258589630127,1.9834206104278564,4.514303827667236,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:33:00+00:00,78.93675231933594,1.851279336472664,4.535195587921143,1.9860507249832153,4.5642763618469235,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:34:40+00:00,85.73371887207031,1.9301234098235214,4.516258477020264,1.9807904958724976,4.541131163024902,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:36:20+00:00,97.4673080444336,2.0592041090058912,4.486536740112305,1.9847356081008911,4.535344744110107,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:38:00+00:00,91.75434112548828,1.9973885524399826,4.4899561393737795,1.9847356081008911,4.53008427658081,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:39:40+00:00,93.29242706298828,2.014215881098074,4.495216130065918,1.9847356081008911,4.533240461730957,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:41:20+00:00,91.22697448730469,1.9915865073940902,4.491797207641602,1.986576795578003,4.534555578613281,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:43:00+00:00,93.26801300048828,2.0139498686226793,4.483906506347656,1.9839465618133545,4.528769636535644,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:44:40+00:00,93.04828643798828,2.0115541880116714,4.486536740112305,1.9860507249832153,4.524035120391845,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:46:20+00:00,93.39008331298828,2.0152795831195265,4.486010788726807,1.9847356081008911,4.527980471038818,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-11-06 10:48:00+00:00,93.57077026367188,2.017246215876008,4.485221623229981,1.980001449584961,4.52745451965332,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
